Golfer,Salary($M)
Scottie Scheffler,9.5
Xander Schauffele,6.25
Collin Morikawa,5.5
Rory McIlroy,5.25
Ludvig Aberg,5
Viktor Hovland,4.25
Hideki Matsuyama,4
Patrick Cantlay,4
Justin Thomas,3.75
Sungjae Im,3.75
Sahith Theegala,3.75
Wyndham Clark,3.75
Tony Finau,3.25
Will Zalatoris,3.25
Max Homa,3.25
Sam Burns,3
Cameron Young,3
Tommy Fleetwood,2.75
Tom Kim,2.75
Akshay Bhatia,2.75
Russell Henley,2.5
Corey Conners,2.5
Max Greyserman,2.25
Byeong Hun An,2.25
Jason Day,2
Matt Fitzpatrick,2
Shane Lowry,1.75
Robert Macintyre,1.75
Adam Scott,1.75
Keegan Bradley,1.75
Si Woo Kim,1.75
J.T. Poston,1.75
Billy Horschel,1.75
Jordan Spieth,1.75
Nick Dunlap,1.75
Rasmus Hojgaard,1.5
Davis Thompson,1.5
Denny McCarthy,1.5
Maverick McNealy,1.5
Harris English,1.5
Cam Davis,1.5
Jon Rahm,1.25
Taylor Pendrith,1.25
Mackenzie Hughes,1.25
Aaron Rai,1.25
Brian Harman,1.25
Christiaan Bezuidenhout,1.25
Eric Cole,1.25
Austin Eckroat,1.25
Sepp Straka,1.25
Min Woo Lee,1.25
Rickie Fowler,1.25
Tom Hoge,1.25
Thomas Detry,1.25
Kurt Kitayama,1
Seamus Power,1
Chris Kirk,1
Matt McCarty,1
Nico Echavarria,1
Nicolai Hojgaard,1
Michael Thorbjornsen,1
Tyrrell Hatton,0.75
Bryson DeChambeau,0.75
Alex Noren,0.75
Ben Griffin,0.75
Brooks Koepka,0.75
Harry Hall,0.75
Lucas Glover,0.75
Patrick Rodgers,0.75
Stephan Jaeger,0.75
Daniel Berger,0.75
Niklas Norgaard,0.75
Taylor Moore,0.75
Jhonattan Vegas,0.75
Adam Hadwin,0.75
Paul Waring,0.75
Justin Rose,0.75
Kevin Yu,0.75
Erik Van Rooyen,0.75
Nick Taylor,0.75
Matthieu Pavon,0.75
