Golfer,Salary,Owners
Scottie Scheffler,9.25,10
Xander Schauffele,6.5,15
Collin Morikawa,6,8
Rory McIlroy,5.5,8
Ludvig Aberg,5.25,18
Viktor Hovland,4.75,5
Hideki Matsuyama,4.5,8
Patrick Cantlay,4,3
Wyndham Clark,3.75,6
Justin Thomas,3.75,5
Sungjae Im,3.75,3
Sahith Theegala,3.5,8
Will Zalatoris,3.5,4
Max Homa,3.25,6
Tony Finau,3.25,3
Sam Burns,3,10
Cameron Young,3,2
Akshay Bhatia,2.75,10
Tom Kim,2.75,5
Tommy Fleetwood,2.75,3
Russell Henley,2.5,6
Corey Conners,2.5,4
Max Greyserman,2.25,2
Byeong Hun An,2.25,1
Keegan Bradley,2,8
Matt Fitzpatrick,2,8
Adam Scott,2,1
Nick Dunlap,1.75,8
Shane Lowry,1.75,8
Billy Horschel,1.75,6
Jordan Spieth,1.75,6
Robert Macintyre,1.75,6
Jason Day,1.75,4
Si Woo Kim,1.75,4
J.T. Poston,1.75,1
Maverick McNealy,1.5,15
Rasmus Hojgaard,1.5,8
Cam Davis,1.5,6
Davis Thompson,1.5,6
Sepp Straka,1.5,6
Denny McCarthy,1.5,3
Harris English,1.5,3
Aaron Rai,1.25,14
Tom Hoge,1.25,13
Taylor Pendrith,1.25,12
Austin Eckroat,1.25,10
Christiaan Bezuidenhout,1.25,7
Eric Cole,1.25,5
Min Woo Lee,1.25,5
Jon Rahm,1.25,3
Thomas Detry,1.25,3
Mackenzie Hughes,1.25,1
Brian Harman,1,15
Chris Kirk,1,9
Matt McCarty,1,9
Michael Thorbjornsen,1,7
Rickie Fowler,1,7
Nico Echavarria,1,3
Nicolai Hojgaard,1,3
Kurt Kitayama,1,0
Seamus Power,1,0
Alex Noren,0.75,9
Adam Hadwin,0.75,6
Bryson DeChambeau,0.75,6
Matthieu Pavon,0.75,5
Stephan Jaeger,0.75,5
Brooks Koepka,0.75,3
Erik Van Rooyen,0.75,3
Harry Hall,0.75,3
Jhonattan Vegas,0.75,3
Justin Rose,0.75,3
Kevin Yu,0.75,2
Patrick Rodgers,0.75,2
Tyrrell Hatton,0.75,1
Ben Griffin,0.5,10
Takumi Kanaya,0.5,4
Andrew Novak,0.5,3
Doug Ghim,0.5,3
Patrick Fishburn,0.5,3
Frankie Capan III,0.5,3
Karl Vilips,0.5,3
Matteo Manassero,0.5,2
Nick Taylor,0.5,2
Daniel Berger,0.5,2
William Mouw,0.5,2
Aldrich Potgieter,0.5,2
Matt Kuchar,0.5,1
Keith Mitchell,0.5,1
Lucas Glover,0.5,1
Beau Hossler,0.5,1
Luke Clanton,0.5,1
Chan Kim,0.5,1
Bud Cauley,0.5,1
Patton Kizzire,0.5,1
Joel Dahmen,0.5,1
Braden Thornberry,0.5,1
Adam Schenk,0.5,1
Matthew Riedel,0.5,1
Taylor Moore,0.5,0
Jake Knapp,0.5,0
Emiliano Grillo,0.5,0
